DATE,USD1WKD156N
2017-09-21,1.19444
2017-09-22,1.19444
2017-09-25,1.19444
2017-09-26,1.19556
2017-09-27,1.19722
2017-09-28,1.20167
2017-09-29,1.205
2017-10-02,1.20333
2017-10-03,1.20333
2017-10-04,1.20167
2017-10-05,1.20222
2017-10-06,1.20222
2017-10-09,1.20333
2017-10-10,1.205
2017-10-11,1.20389
2017-10-12,1.205
2017-10-13,1.20444
2017-10-16,1.20594
2017-10-17,1.20667
2017-10-18,1.20494
2017-10-19,1.20557
2017-10-20,1.20444
2017-10-23,1.20172
2017-10-24,1.20239
2017-10-25,1.20247
2017-10-26,1.20517
2017-10-27,1.20326
2017-10-30,1.20467
2017-10-31,1.20767
2017-11-01,1.20656
2017-11-02,1.20467
2017-11-03,1.20444
2017-11-06,1.205
2017-11-07,1.2055
2017-11-08,1.205
2017-11-09,1.20272
2017-11-10,1.20422
2017-11-13,1.2035
2017-11-14,1.20406
2017-11-15,1.20356
2017-11-16,1.20372
2017-11-17,1.20267
2017-11-20,1.20367
2017-11-21,1.20212
2017-11-22,1.19969
2017-11-23,1.2008
2017-11-24,1.20341
2017-11-27,1.20106
2017-11-28,1.20219
2017-11-29,1.205
2017-11-30,1.20688
2017-12-01,1.21014
2017-12-04,1.21313
2017-12-05,1.21444
2017-12-06,1.22813
2017-12-07,1.29936
2017-12-08,1.34168
2017-12-11,1.38151
2017-12-12,1.42375
2017-12-13,1.43475
2017-12-14,1.44918
2017-12-15,1.45386
2017-12-18,1.45533
2017-12-19,1.45658
2017-12-20,1.45806
2017-12-21,1.47538
2017-12-22,1.486
2017-12-25,.
2017-12-26,.
2017-12-27,1.48913
2017-12-28,1.48413
2017-12-29,1.48038
2018-01-01,.
2018-01-02,1.48038
2018-01-03,1.47188
2018-01-04,1.46971
2018-01-05,1.4697
2018-01-08,1.46832
2018-01-09,1.46438
2018-01-10,1.4647
2018-01-11,1.46438
2018-01-12,1.46581
2018-01-15,1.46596
2018-01-16,1.46606
2018-01-17,1.46534
2018-01-18,1.46533
2018-01-19,1.46596
2018-01-22,1.46586
2018-01-23,1.46563
2018-01-24,1.465
2018-01-25,1.46813
2018-01-26,1.4675
2018-01-29,1.4675
2018-01-30,1.46875
2018-01-31,1.47011
2018-02-01,1.46963
2018-02-02,1.46869
2018-02-05,1.46871
2018-02-06,1.46875
2018-02-07,1.46875
2018-02-08,1.46861
2018-02-09,1.46938
2018-02-12,1.46938
2018-02-13,1.47063
2018-02-14,1.47188
2018-02-15,1.47063
2018-02-16,1.47125
2018-02-19,1.47313
2018-02-20,1.4725
2018-02-21,1.47125
2018-02-22,1.47125
2018-02-23,1.4725
